S_NO,NAME_OF_THE_VESSEL,QUANTITY,DISCHARGE_COMPLETED,PORT,pono,SUPPLIER,,A,B,C
2,M.V.EVOIKOS THEO,72210,05.10.19,ENNORE ,123,m/s_knowledge_intern,,5,10,19
3,M.V.AMAZON,78320,13.10.19,ENNORE ,123,m/s_knowledge_intern,,13,10,19
4,M.V.DIMITRIS.A,79200,02.10.19,ENNORE ,123,m/s_knowledge_intern,,2,10,19
5,M.V. NEW EXPLORER,74500,27.10.19,ENNORE ,123,m/s_knowledge_intern,,27,10,19
6,M.V.KALLIOPI L,73615,07.12.19,ENNORE ,123,m/s_knowledge_intern,,7,12,19
7,M.V ASIA RUBY IV,58960,26.12.19,ENNORE ,123,m/s_knowledge_intern,,26,12,19
1,M.V. PYTHOGORAS,23750,05.10.14,TUTICORIN ,96,M/s. KNOWLEDGE INFRASTRUCTURE ,,5,10,14
2,M.V. MARIA,53000,21.10.14,TUTICORIN ,96,M/s. KNOWLEDGE INFRASTRUCTURE ,,21,10,14
3,M.V. PYTHOGORAS,52000,07.11.14,TUTICORIN ,96,M/s. KNOWLEDGE INFRASTRUCTURE ,,7,11,14
4,M.V. BALTIC PANTHER,52001,10.11.14,TUTICORIN ,96,M/s. KNOWLEDGE INFRASTRUCTURE ,,10,11,14
5,M.V. ILIA,53000,26.12.14,TUTICORIN ,96,M/s. KNOWLEDGE INFRASTRUCTURE ,,26,12,14
6,M.V.SHARP,53000,02.01.15,TUTICORIN ,96,M/s. KNOWLEDGE INFRASTRUCTURE ,,2,1,15
7,M.V. LIVORNO,52000,19.01.15,TUTICORIN ,96,M/s. KNOWLEDGE INFRASTRUCTURE ,,19,1,15
8,M.V. SMOLENSK,52000,29.03.15,TUTICORIN ,96,M/s. KNOWLEDGE INFRASTRUCTURE ,,29,3,15
9,M.V.CENTRANS HERMES,52000,06.04.15,TUTICORIN ,96,M/s. KNOWLEDGE INFRASTRUCTURE ,,6,4,15
10,M.V. YIN NENG,52000,11.04.15,TUTICORIN ,96,M/s. KNOWLEDGE INFRASTRUCTURE ,,11,4,15
11,M.V. YIN SHUN,52000,15.04.15,TUTICORIN ,96,M/s. KNOWLEDGE INFRASTRUCTURE ,,15,4,15
12,M.V. EGRET BULKER,53300,22.04.15,TUTICORIN ,96,M/s. KNOWLEDGE INFRASTRUCTURE ,,22,4,15
1,M.V. COMMON CALYPSO,55000,08.6.19,TUTICORIN ,122,M/s.PT_BARA_DAYA_ENERGI_INDONE,,8,6,19
2,M.V. ARCHAGELOS MICHAEL,52650,26.06.19,TUTICORIN ,122,M/s.PT_BARA_DAYA_ENERGI_INDONE,,26,6,19
3,M.V. QUEEN,53616,14.07.19,TUTICORIN ,122,M/s.PT_BARA_DAYA_ENERGI_INDONE,,14,7,19
4,M.V. SPINEL,58673,02.08.19,TUTICORIN ,122,M/s.PT_BARA_DAYA_ENERGI_INDONE,,2,8,19
5,M.V. OCEAN PEARL,52309,12.08.19,TUTICORIN ,122,M/s.PT_BARA_DAYA_ENERGI_INDONE,,12,8,19
6,M.V. TRENTA,54765,08.09.19,TUTICORIN ,122,M/s.PT_BARA_DAYA_ENERGI_INDONE,,8,9,19
7,M.V. IKAN SELIGI,48748,13.09.19,TUTICORIN ,122,M/s.PT_BARA_DAYA_ENERGI_INDONE,,13,9,19
8,M.V. NAVDHENU PURNA,52000,27.09.19,TUTICORIN ,122,M/s.PT_BARA_DAYA_ENERGI_INDONE,,27,9,19
9,M.V. ZOLA,62200,10.10.19,TUTICORIN ,122,M/s.PT_BARA_DAYA_ENERGI_INDONE,,10,10,19
10,M.V. SINICA GRAECA,62050,02.11.19,TUTICORIN ,122,M/s.PT_BARA_DAYA_ENERGI_INDONE,,2,11,19
11,M.V. SOHO PRINCIPAL,62000,09.11.19,TUTICORIN ,122,M/s.PT_BARA_DAYA_ENERGI_INDONE,,9,11,19
12,M.V. ESPERIA,56300,20.11.19,TUTICORIN ,122,M/s.PT_BARA_DAYA_ENERGI_INDONE,,20,11,19
13,M.V. LACONIC,57950,23.12.19,TUTICORIN ,122,M/s.PT_BARA_DAYA_ENERGI_INDONE,,23,12,19
14,M.V. SOHO MANDATE,61000,08.01.20,TUTICORIN ,122,M/s.PT_BARA_DAYA_ENERGI_INDONE,,8,1,20
15,M.V.PANASIATIC,79420,02.08.19,ENNORE ,122,M/s.PT_BARA_DAYA_ENERGI_INDONE,,2,8,19
16,M.V.AGIA VALENTINI,77500,02.09.19,ENNORE ,122,M/s.PT_BARA_DAYA_ENERGI_INDONE,,2,9,19
17,M.V.NEW HORIZON,74800,02.10.19,ENNORE ,122,M/s.PT_BARA_DAYA_ENERGI_INDONE,,2,10,19
18,M.V.AGIOS KONSTANTINOS,72427,27.10.19,ENNORE ,122,M/s.PT_BARA_DAYA_ENERGI_INDONE,,27,10,19
19,M.V.NEW HORIZON(2),74800,05.12.19,ENNORE ,122,M/s.PT_BARA_DAYA_ENERGI_INDONE,,5,12,19
20,M.V. SILVER STAR,75530,26.12.19,ENNORE ,122,M/s.PT_BARA_DAYA_ENERGI_INDONE,,26,12,19
